station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
null|MASKSTID|ICOADS-302-RJEUQU|ICOADS-302-RJEUQU-SST|139.5|40.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.85|0|2|0|2|0|2
OOCL LUXEMBOURG|VRGO3|ICOADS-302-RJEUQV|ICOADS-302-RJEUQV-SST|139.5|40.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.85|0|2|0|2|0|2
KEIFU MARU|JPBN|ICOADS-302-RJEURI|ICOADS-302-RJEURI-SST|137.6|40.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.05|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEURJ|ICOADS-302-RJEURJ-SST|137.6|40.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|288.05|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEURP|ICOADS-302-RJEURP-SST|-70.9|40.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.95|0|2|0|2|0|2
NEIL ARMSTRONG (AWS)|WARL|ICOADS-302-RJEURQ|ICOADS-302-RJEURQ-SST|-70.9|40.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.95|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEURV|ICOADS-302-RJEURV-SST|-9.8|40.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|1|2|0|2|0|2
MAASTRICHT MAERSK|OWSE2|ICOADS-302-RJEURW|ICOADS-302-RJEURW-SST|-9.8|40.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|1|2|0|2|0|2
MSC LA SPEZIA|DIGX2|ICOADS-302-RJEUS6|ICOADS-302-RJEUS6-SST|-146.0|39.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|0|2|0|2|0|2
MAERSK VARNA|9V8838|ICOADS-302-RJEUS7|ICOADS-302-RJEUS7-SST|-72.1|39.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.95|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUS8|ICOADS-302-RJEUS8-SST|-72.1|39.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.95|0|2|0|2|0|2
CMA CGM LAPEROUSE|FLTH|ICOADS-302-RJEUSQ|ICOADS-302-RJEUSQ-SST|-73.3|39.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUSR|ICOADS-302-RJEUSR-SST|-73.3|39.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUTE|ICOADS-302-RJEUTE-SST|-32.2|38.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|0|2|0|2|0|2
AM BUCHANAN|V7AT9|ICOADS-302-RJEUTF|ICOADS-302-RJEUTF-SST|-32.2|38.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUTL|ICOADS-302-RJEUTL-SST|-36.5|38.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|296.15|0|2|0|2|0|2
WASHINGTON EXPRESS|WDD3826|ICOADS-302-RJEUTM|ICOADS-302-RJEUTM-SST|-36.5|38.2|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|296.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUUO|ICOADS-302-RJEUUO-SST|9.6|37.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.95|0|2|0|2|0|2
ALLIANCE FAIRFAX|WLMQ|ICOADS-302-RJEUUP|ICOADS-302-RJEUUP-SST|9.6|37.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.95|0|2|0|2|0|2
CMA CGM T. JEFFERSON|9HA4970|ICOADS-302-RJEUUR|ICOADS-302-RJEUUR-SST|-152.6|37.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|294.85|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUUS|ICOADS-302-RJEUUS-SST|-152.6|37.6|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|294.85|0|2|0|2|0|2
BIRYONG|3FRT8|ICOADS-302-RJEUV5|ICOADS-302-RJEUV5-SST|126.6|37.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.45|2|2|0|2|0|2
BIRYONG|3FRT8|ICOADS-302-RJEUV6|ICOADS-302-RJEUV6-SST|126.6|37.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.45|2|2|0|2|0|2
MAERSK HERRERA|9V7989|ICOADS-302-RJEUV9|ICOADS-302-RJEUV9-SST|4.0|37.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.75|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUVA|ICOADS-302-RJEUVA-SST|4.0|37.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.75|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUW1|ICOADS-302-RJEUW1-SST|0.0|36.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|292.15|0|2|0|2|0|2
EXEMPLAR|ONFZ|ICOADS-302-RJEUW2|ICOADS-302-RJEUW2-SST|0.0|36.7|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|292.15|0|2|0|2|0|2
A.P. MOLLER|9V6218|ICOADS-302-RJEUWB|ICOADS-302-RJEUWB-SST|-168.5|36.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.15|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUWC|ICOADS-302-RJEUWC-SST|-168.5|36.4|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|291.15|0|2|0|2|0|2
NEW GOLDEN BRIDGE V|HPUO|ICOADS-302-RJEUWN|ICOADS-302-RJEUWN-SST|120.8|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.05|2|2|0|2|0|2
NEW GOLDEN BRIDGE V|HPUO|ICOADS-302-RJEUWO|ICOADS-302-RJEUWO-SST|120.8|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|293.05|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUWP|ICOADS-302-RJEUWP-SST|169.2|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|296.15|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUWR|ICOADS-302-RJEUWR-SST|169.2|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|296.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUWT|ICOADS-302-RJEUWT-SST|-57.5|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|297.55|0|2|0|2|0|2
MAERSK HARTFORD|WMHA|ICOADS-302-RJEUWU|ICOADS-302-RJEUWU-SST|-57.5|36.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|297.55|0|2|0|2|0|2
